station,station_id,station_type,latitude,longitude,distance_from_sea,municipality
ws-DL7,VR2W-123820,receiver,51.471342,3.475013,0,
ws-DL9,VR2W-127727,receiver,51.465842,3.48868,1233.0505325441197,
ws-TRAWL,VR2W-123817,receiver,51.437785,3.470347,3877.9566153629708,
ws-13,VR2W-120876,receiver,51.4071859,3.7080883,19152.863027695752,
ws-PVTSS,VR2W-120873,receiver,51.4018055,3.7089134,19457.8167096751,
ws-4,VR2W-120882,receiver,51.3970414,3.7153436,20159.99116606106,
ws-6,VR2W-120883,receiver,51.3913098,3.7161726,20489.416045216058,
ws-12A,VR2W-124071,receiver,51.3648799,3.765539,25097.810992511662,
ws-23,VR2W-115434,receiver,51.3552573,3.7609896,25237.0839905381,
ws-14,VR2W-127736,receiver,51.3601518,3.7798113,26342.160840930355,
ws-25A,VR2W-129566,receiver,51.352186,3.781008,26769.470508786784,
ws-16,VR2W-122346,receiver,51.3544901,3.795027,27610.981886525416,
ws-25B,VR2W-126202,receiver,51.3465544,3.800172,28399.741815736725,
ws-18,VR2W-115447,receiver,51.3482621,3.8147323,29290.19558782603,Terneuzen
ws-55,VR2W-127734,receiver,51.40221,4.02998,43691.77338600042,
ws-53A,VR2W-127731,receiver,51.411167,4.029233,43704.94526730061,
ws-42A,VR2W-127735,receiver,51.42251303,4.032860596,44459.807248886864,
Prosperpolder tij/Zeeschelde,zes01a-1066,waterinfo,51.34833167,4.237936667,61065.02082989638,
Liefkenshoek tij/Zeeschelde,zes10a-1066,waterinfo,51.29658639,4.286839722,68182.0333712237,
s-11,VR2W-127728,receiver,51.29646,4.2857,68216.43743204128,Stabroek
ak-45,VR2W-126197,receiver,51.280982,4.329702,71412.5615835262,
Kallosluis tij/Zeeschelde,zes14a-1066,waterinfo,51.26543972,4.296636389,72994.76430733,
s-10a,VR2W-127716,receiver,51.235423,4.396673,79607.54659103852,Antwerpen
Antwerpen tij/Zeeschelde,zes21a-1066,waterinfo,51.22882139,4.397031389,80356.65246117148,
s-9a,VR2W-127738,receiver,51.19068,4.33602,86791.63310375607,Hoboken
s-9,VR2W-113528,receiver,51.19069,4.32954,87178.23778840363,
Hemiksem tij/Zeeschelde,zes28a-1066,waterinfo,51.14297806,4.328803333,92243.2647292596,
s-8,VR2W-112295,receiver,51.14319,4.33078,92293.5735758427,Hemiksem
s-8a,VR2W-127719,receiver,51.14222,4.32646,92437.84496735358,
s-7,VR2W-115442,receiver,51.11414,4.24123,100084.02466017522,
Temse tij/Zeeschelde,zes36a-1066,waterinfo,51.12280913,4.218672931,101955.26280802893,
s-6,VR2W-115441,receiver,51.12287,4.2184,101955.26280802893,Temse
Emblem tij/Kleine Nete,knt01a-1066,waterinfo,51.15802917,4.608639167,106060.53772277193,
Walem tij/Rupel,rup03a-1066,waterinfo,51.07367028,4.418808611,106515.4507570003,
Tielrode tij/Durme,dur01a-1066,waterinfo,51.109585,4.174059167,106525.37014847863,
s-5,VR2W-115430,receiver,51.09258,4.17083,106782.74788833846,
s-4c,VR2W-122336,receiver,51.07363,4.19007,109330.00731506808,
s-4c,VR2W-122339,receiver,51.07363,4.19007,109330.00731506808,
Lier Molbrug tij/Nete,bnt07a-1066,waterinfo,51.12635944,4.571893889,111573.64794533154,
s-4b,VR2W-122367,receiver,51.05593,4.20024,111748.25560768046,Sint-Amands
Sint-Amands tij/Zeeschelde,zes42a-1066,waterinfo,51.05264028,4.197213889,111974.50700212737,
Mechelen Benedensluis tij/Dijle,dij06a-1066,waterinfo,51.03378278,4.467079167,112592.94207974923,
s-4a,VR2W-122363,receiver,51.03203,4.18166,114805.70374198731,
Kessel tij/Grote Nete,gnt02a-1066,waterinfo,51.12721667,4.648963333,114822.1693194944,
Mechelen Stuw Opwaarts tij/Dijle,dij08a-1066,waterinfo,51.02338946,4.497031088,115250.38436527428,
Duffel-sluis tij,bnt03a-1074,waterinfo,51.10913861,4.530166667,115352.90698047349,
Hombeek tij/Zenne,zen01a-1066,waterinfo,51.01521639,4.448941944,115397.03443540155,
Waasmunster Manta tij/Durme,dur05a-1066,waterinfo,51.10794028,4.067103611,115712.46407321212,
s-Vlassenbroek,VR2W-115444,receiver,51.03955,4.16605,116243.2673762685,Vlassenbroek
Zemst tij/Zenne,zen02a-1066,waterinfo,50.99522222,4.4640775,117147.9187282059,
s-Dendermonde,VR2W-112292,receiver,51.03855,4.1175,122717.33494505082,Dendermonde
Dendermonde tij/Zeeschelde,zes47a-1066,waterinfo,51.03455757,4.103856105,123876.97188606855,
s-4,VR2W-113521,receiver,51.04231,4.0945,125092.7511806133,
s-3,VR2W-122325,receiver,51.0434,4.04783,129076.70043041659,
Schoonaarde tij/Zeeschelde,zes49a-1066,waterinfo,51.00466917,4.007586389,134862.271537308,
s-2a,VR2W-122322,receiver,51.02032,3.96965,138957.3161548583,Uitbergen
s-Wichelen,VR2W-115438,receiver,51.0168,3.92527,143593.46001473218,Wichelen
Wetteren tij/Zeeschelde,zes55a-1066,waterinfo,51.00844083,3.881585556,147057.32639106136,
s-Wetteren,VR2W-112297,receiver,51.00164,3.85695,149062.2198406667,Wetteren
Melle tij,zes57a-1074,waterinfo,51.00432528,3.805347222,153557.68555253677,
s-2,VR2W-112287,receiver,51.00588,3.77876,155620.94814694297,Merelbeke
Gentbrugge tij/Zeeschelde,zes58a-1066,waterinfo,51.04705611,3.747220833,162227.84937618615,
