Date,Transmitter,Receiver,latitude,longitude,station,Arrival,Departure,Detections,residencetime
2016-10-19,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-10-19T23:44:00Z,2016-10-19T23:48:00Z,4,240
2016-10-19,A69-1601-52644,VR2W-112287,51.00588,3.77876,s-2,2016-10-19T16:07:00Z,2016-10-19T19:12:00Z,54,11100
2016-10-20,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-20T13:18:00Z,2016-10-20T13:23:00Z,3,300
2016-10-20,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-20T02:21:00Z,2016-10-20T02:29:00Z,5,480
2016-10-20,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-10-20T01:01:00Z,2016-10-20T01:09:00Z,6,480
2016-10-20,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-20T05:52:00Z,2016-10-20T06:00:00Z,5,480
2016-10-21,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-21T21:41:00Z,2016-10-21T22:20:00Z,18,2340
2016-10-22,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-22T00:44:00Z,2016-10-22T00:57:00Z,8,780
2016-10-22,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-10-22T19:28:00Z,2016-10-22T19:29:00Z,2,60
2016-10-22,A69-1601-52644,VR2W-115444,51.03955,4.16605,s-Vlassenbroek,2016-10-22T16:07:00Z,2016-10-22T16:13:00Z,4,360
2016-10-22,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-22T01:54:00Z,2016-10-22T02:00:00Z,5,360
2016-10-22,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-22T19:58:00Z,2016-10-22T19:59:00Z,2,60
2016-10-22,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-10-22T02:29:00Z,2016-10-22T02:36:00Z,7,420
2016-10-22,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-22T20:47:00Z,2016-10-22T20:56:00Z,3,540
2016-10-23,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-10-23T02:09:00Z,2016-10-23T02:19:00Z,7,600
2016-10-23,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-23T08:55:00Z,2016-10-23T08:58:00Z,3,180
2016-10-23,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-23T07:47:00Z,2016-10-23T07:59:00Z,7,720
2016-10-23,A69-1601-52644,VR2W-112292,51.03855,4.1175,s-Dendermonde,2016-10-23T07:02:00Z,2016-10-23T07:26:00Z,15,1440
2016-10-23,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-23T01:38:00Z,2016-10-23T01:41:00Z,4,180
2016-10-23,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-23T00:31:00Z,2016-10-23T00:51:00Z,12,1200
2016-10-24,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-24T19:56:00Z,2016-10-24T19:56:00Z,1,30
2016-10-24,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-24T09:35:00Z,2016-10-24T09:45:00Z,8,600
2016-10-25,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-25T00:58:00Z,2016-10-25T01:00:00Z,2,120
2016-10-25,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-25T21:18:00Z,2016-10-25T21:20:00Z,2,120
2016-10-26,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-26T20:34:00Z,2016-10-26T20:51:00Z,12,1020
2016-10-26,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-26T17:38:00Z,2016-10-26T17:46:00Z,6,480
2016-10-26,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-26T22:39:00Z,2016-10-26T23:02:00Z,15,1380
2016-10-26,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-26T02:08:00Z,2016-10-26T02:08:00Z,1,30
2016-10-27,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-27T18:03:00Z,2016-10-27T18:15:00Z,7,720
2016-10-27,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-27T20:46:00Z,2016-10-27T20:52:00Z,5,360
2016-10-27,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-10-27T02:24:00Z,2016-10-27T02:31:00Z,6,420
2016-10-27,A69-1601-52644,VR2W-113521,51.04231,4.0945,s-4,2016-10-27T21:54:00Z,2016-10-27T23:13:00Z,17,4740
2016-10-27,A69-1601-52644,VR2W-112297,51.00164,3.85695,s-Wetteren,2016-10-27T04:01:00Z,2016-10-27T04:23:00Z,16,1320
2016-10-27,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-10-27T05:49:00Z,2016-10-27T06:03:00Z,9,840
2016-10-27,A69-1601-52644,VR2W-122322,51.02032,3.96965,s-2a,2016-10-27T01:24:00Z,2016-10-27T01:27:00Z,3,180
2016-10-28,A69-1601-52644,VR2W-115438,51.0168,3.92527,s-Wichelen,2016-10-28T04:02:00Z,2016-10-28T04:13:00Z,7,660
2016-10-28,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-28T20:50:00Z,2016-10-28T21:01:00Z,6,660
2016-10-28,A69-1601-52644,VR2W-122325,51.0434,4.04783,s-3,2016-10-28T00:14:00Z,2016-10-28T00:41:00Z,17,1620
